Название;Ключ события;Описание;Группа;Пример данных JSON
Миссия начата;mission_started;Игрок отправился на миссию;Миссии;"{\"mission_id\":\"forest_stage_3\",\"difficulty\":\"dangerous\",\"player_stage\":3,\"mission_stage\":4}"
Миссия завершена;mission_completed;Миссия закончилась;Миссии;"{\"mission_id\":\"forest_stage_3\",\"result\":\"victory\",\"duration_sec\":42,\"health_after\":38}"
Награда миссии выдана;mission_reward_received;Выдана награда миссии;Миссии;"{\"mission_id\":\"forest_stage_3\",\"money\":850,\"items\":[{\"item_id\":\"herb\",\"quantity\":2,\"contamination\":0.47}]}"
Бой начат;combat_started;Начался бой;Бой;"{\"mission_id\":\"forest_stage_3\",\"enemy_id\":\"wolf\",\"player_health\":100,\"enemy_health\":80}"
Бой завершён;combat_completed;Бой завершён;Бой;"{\"result\":\"victory\",\"enemy_id\":\"wolf\",\"duration_sec\":21,\"player_health_after\":38}"
Нанесён урон;combat_damage_batch;Агрегация урона в конце боя;Бой;"{\"source\":\"player\",\"total_damage\":80,\"hits\":12,\"critical_hits\":2}"
Поражение в бою;combat_defeat;Игрок проиграл бой;Бой;"{\"enemy_id\":\"wolf\",\"mission_id\":\"forest_stage_3\",\"player_stage\":3}"
Медитация открыта;dog_meditation_opened;Открыт модуль медитации;Медитация;"{\"dog_level\":2,\"available_actions\":3}"
Настройки открыты;settings_opened;Открыт поп-ап настроек;Настройки;"{\"app_version\":\"1.0.0\",\"build\":45}"
Музыка изменена;music_setting_changed;Игрок включил или выключил музыку;Настройки;"{\"enabled\":false,\"previous_value\":true}"
Звуки изменены;sound_setting_changed;Игрок включил или выключил звуки;Настройки;"{\"enabled\":true,\"previous_value\":false}"
Сохранение создано;save_completed;Сохранение успешно записано;Сохранение;"{\"reason\":\"autosave\",\"save_size_bytes\":15320,\"game_tick\":420}"
Ошибка игры;game_error;Обработанная ошибка игрового уровня;Ошибки;"{\"area\":\"alchemy\",\"exception_type\":\"InvalidOperationException\",\"recoverable\":true}"
Производительность;performance_sample;Редкая агрегация производительности;Техническое;"{\"fps_avg\":58,\"fps_min\":42,\"frame_ms_p95\":24,\"memory_mb\":310}"
Длительная загрузка;slow_loading_detected;Загрузка превысила порог;Техническое;"{\"phase\":\"asset_extraction\",\"duration_ms\":5400,\"platform\":\"android\"}"
